Team_Id,Team_Name,Team_Class
1337,Pepperdine,3
1338,Pittsburgh,2
1339,Portland,3
1340,PortlandSt,3
1341,PrairieView,3
1342,Presbyterian,3
1343,Princeton,3
1344,Providence,3
1345,Purdue,2
1346,Quinnipiac,3
1347,Radford,3
1348,RhodeIsland,3
1349,Rice,2
1350,Richmond,3
1351,Rider,3
1352,RobertMorris,3
1353,Rutgers,2
1354,SCarolinaSt,3
1355,SDakotaSt,3
1356,SIllinois,3
1357,SacredHeart,3
1358,SamHoustonSt,3
1359,Samford,3
1360,SanDiego,3
1361,SanDiegoSt,2
1362,SanFrancisco,3
1363,SanJoseSt,2
1364,SantaBarbara,3
1365,SantaClara,3
1366,SavannahSt,3
1367,SCUpstate,3
1368,SELouisiana,3
1369,SEMissouriSt,3
1370,Seattle,3
1371,SetonHall,3
1372,SFAustin,3
1373,Siena,3
1374,SMU,2
1375,SouthAlabama,2
1376,SouthCarolina,2
1377,SouthDakota,3
1378,SouthFlorida,2
1379,SouthernMiss,2
1380,SouthernUniv,3
1381,SouthernUtah,3
1382,StBonaventure,3
1383,StFrancisNY,3
1384,StFrancisPA,3
1385,StJohn's,3
1386,StJoseph'sPA,3
1387,StLouis,3
1388,StMary'sCA,3
1389,StPeter's,3
1390,Stanford,2
1391,Stetson,3
1392,StonyBrook,3
1393,Syracuse,2
1394,TAMC.Christi,3
1395,TCU,2
1396,Temple,2
1397,Tennessee,2
1398,TennesseeSt,3
1399,TennesseeTech,3
1400,Texas,2
1401,TexasA&M,2
1402,TexasSt,2
1403,TexasTech,2
1404,TNMartin,3
1405,Toledo,2
1406,Towson,3
1407,Troy,2
1408,Tulane,2
1409,Tulsa,2
1410,UTRGV,3
1411,TXSouthern,3
1412,UAB,3
1413,UCDavis,3
1414,UCIrvine,3
1415,UCRiverside,3
1416,UCF,2
1417,UCLA,2
1418,ULL,2
1419,ULM,2
1420,UMBC,3
1421,UNCAsheville,3
1422,UNCGreensboro,3
1423,UNCWilmington,3
1424,UNLV,2
1425,USC,2
1426,UTArlington,3
1427,UTSanAntonio,2
1428,Utah,2
1429,UtahSt,2
1430,UtahValley,3
1431,UTEP,2
1432,Utica,3
1433,VACommonwealth,3
1434,Valparaiso,3
1435,Vanderbilt,2
1436,Vermont,3
1437,Villanova,3
1438,Virginia,2
1439,VirginiaTech,2
1440,VMI,3
1441,WCarolina,3
1442,WIllinois,3
1443,WKU,2
1444,WMichigan,2
1445,WSalemSt,3
1446,WTexasA&M,3
1447,Wagner,3
1448,WakeForest,2
1449,Washington,2
1450,WashingtonSt,2
1451,WeberSt,3
1452,WestVirginia,2
1453,WIGreenBay,3
1454,WIMilwaukee,3
1455,WichitaSt,3
1456,William&Mary,3
1457,Winthrop,3
1458,Wisconsin,2
1459,Wofford,3
1460,WrightSt,3
1461,Wyoming,2
1462,Xavier,3
1463,Yale,3
1464,YoungstownSt,3
